textGrid	consonant	speed	cs	sorder	vowel	oralPerc	nasalPerc	oralDuration	nasalDuration	totalDuration
Audio1_04stereo	l	s	ls	s1	ain	19	81	172	729	901
Audio1_04stereo	l	s	ls	s1	an	32	68	389	819	1208
Audio1_04stereo	l	s	ls	s1	on	17	83	241	1178	1419
Audio1_05stereo	l	m	lm	m1	ain	12	88	100	749	849
Audio1_05stereo	l	m	lm	m1	an	17	83	141	688	829
Audio1_05stereo	l	m	lm	m1	on	15	85	163	892	1055
Audio1_06stereo	l	f	lf	f1	ain	20	80	85	332	417
Audio1_06stereo	l	f	lf	f1	an	23	77	70	237	307
Audio1_06stereo	l	f	lf	f1	on	13	87	47	305	352
Audio1_07stereo	l	s	ls	s2	ain	30	70	209	494	703
Audio1_07stereo	l	s	ls	s2	an	24	76	193	610	803
Audio1_07stereo	l	s	ls	s2	on	20	80	160	659	819
Audio1_08stereo	l	m	lm	m2	ain	22	78	120	414	534
Audio1_08stereo	l	m	lm	m2	an	21	79	116	425	541
Audio1_08stereo	l	m	lm	m2	on	20	80	125	503	628
Audio1_09stereo	l	f	lf	f2	ain	26	74	84	236	320
Audio1_09stereo	l	f	lf	f2	an	30	70	69	163	232
Audio1_09stereo	l	f	lf	f2	on	28	72	74	191	265
Audio1_10stereo	l	s	ls	s3	ain	25	75	178	530	708
Audio1_10stereo	l	s	ls	s3	an	23	77	173	570	743
Audio1_10stereo	l	s	ls	s3	on	23	77	137	459	596
Audio1_11stereo	l	m	lm	m3	ain	18	82	93	417	510
Audio1_11stereo	l	m	lm	m3	an	21	79	101	386	487
Audio1_11stereo	l	m	lm	m3	on	32	68	153	322	475
Audio1_12stereo	l	f	lf	f3	ain	16	84	47	254	301
Audio1_12stereo	l	f	lf	f3	an	27	73	73	197	270
Audio1_12stereo	l	f	lf	f3	on	35	65	89	168	257
Audio1_13stereo	m	s	ms	s1	ain	0	100	0	680	680
Audio1_13stereo	m	s	ms	s1	an	0	100	0	808	808
Audio1_13stereo	m	s	ms	s1	on	0	100	0	963	963
Audio1_13stereo	t	s	ts	s1	ain	5	95	49	847	896
